Unix_Timestamp,Action_Label,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1776200275.886095,start_relax,-2,-5,-3,0,-1,0,1,1,0.66986083984375,-0.37506103515625,-0.0374755859375,0.6396484375,-0.41357421875,-0.54443359375,0.7119140625,2.5,0.3125,-2.25
1776200275.886095,start_relax,4,0,-3,-2,0,5,12,1,0.66986083984375,-0.37506103515625,-0.0374755859375,0.6396484375,-0.41357421875,-0.54443359375,0.7119140625,2.5,0.3125,-2.25
1776200275.90029,start_relax,-3,-2,-1,1,2,-1,4,0,0.66986083984375,-0.37506103515625,-0.0374755859375,0.6396484375,-0.41357421875,-0.54443359375,0.7119140625,2.5,0.3125,-2.25
1776200275.90029,start_relax,2,1,0,-2,-2,-3,-6,2,0.66986083984375,-0.37506103515625,-0.0374755859375,0.6396484375,-0.41357421875,-0.54443359375,0.7119140625,2.5,0.3125,-2.25
1776200275.908072,start_relax,0,0,1,2,1,2,-4,3,0.6705322265625,-0.37445068359375,-0.03704833984375,0.6392822265625,-0.41845703125,-0.5419921875,0.72119140625,4.5625,1.0,-2.6875
1776200275.908072,start_relax,-1,-1,-1,1,-1,-11,-13,-3,0.6705322265625,-0.37445068359375,-0.03704833984375,0.6392822265625,-0.41845703125,-0.5419921875,0.72119140625,4.5625,1.0,-2.6875
1776200275.91561,start_relax,1,-3,-1,-3,-1,2,1,0,0.6705322265625,-0.37445068359375,-0.03704833984375,0.6392822265625,-0.41845703125,-0.5419921875,0.72119140625,4.5625,1.0,-2.6875
1776200275.91561,start_relax,-3,-1,-2,0,0,12,22,1,0.6705322265625,-0.37445068359375,-0.03704833984375,0.6392822265625,-0.41845703125,-0.5419921875,0.72119140625,4.5625,1.0,-2.6875
1776200275.931617,start_relax,-2,3,-2,-2,0,-14,4,-2,0.6712646484375,-0.37371826171875,-0.03631591796875,0.6390380859375,-0.42431640625,-0.53955078125,0.71728515625,6.625,1.0,-2.5625
1776200275.931617,start_relax,-2,-2,-3,-1,2,3,0,-5,0.6712646484375,-0.37371826171875,-0.03631591796875,0.6390380859375,-0.42431640625,-0.53955078125,0.71728515625,6.625,1.0,-2.5625
